term_id,term_name,methods_tested,methods_significant,significant_fraction,wilcoxon_tested,gprofiler_tested,wilcoxon_gene_set_size,wilcoxon_effect_difference,wilcoxon_p_value,wilcoxon_adjusted_p_value,wilcoxon_significant,gprofiler_term_size,gprofiler_intersection_size,gprofiler_p_value,gprofiler_significant
GO:0052544,defense response by callose deposition in cell wall,2,0,0.0,True,True,16.0,-0.0082418799976431,0.5762825095538564,0.7329278799812139,False,16.0,1.0,0.5123800016022472,False
GO:1905392,plant organ morphogenesis,2,0,0.0,True,True,19.0,-0.0025767141203569,0.3266074081958228,0.5150426280912465,False,437.0,5.0,0.9862464735841464,False
GO:0009664,plant-type cell wall organization,2,0,0.0,True,True,69.0,0.0,0.3332094960893638,0.5218339421301743,False,143.0,1.0,0.9999999213864,False
GO:0010374,stomatal complex development,1,0,0.0,True,False,27.0,0.0031924790606596,0.3446687980037104,0.5319544917775808,False,,,,
GO:0048507,meristem development,2,0,0.0,True,True,26.0,0.0012044856190789,0.3438752011871556,0.5319544917775808,False,276.0,4.0,0.8707977827734873,False
GO:0048437,floral organ development,2,0,0.0,True,True,20.0,-0.0002207474724649,0.7642387313242351,0.867100674027497,False,205.0,5.0,0.5415042440568286,False
GO:0042335,cuticle development,1,0,0.0,False,True,,,,,,19.0,1.0,0.5435319430601824,False
GO:0048509,regulation of meristem development,1,0,0.0,True,False,10.0,0.0247453305323848,0.3667465374014278,0.5560361494446874,False,,,,
GO:0048829,root cap development,1,0,0.0,True,False,15.0,-0.0141101960007065,0.396772571240004,0.5806427871804937,False,,,,
GO:0080086,stamen filament development,1,0,0.0,True,False,14.0,0.0030411892112079,0.3989785238173163,0.5826080902865446,False,,,,
GO:0048653,anther development,2,0,0.0,True,True,34.0,0.0026202405181865,0.4130216133409905,0.5941918837909878,False,59.0,1.0,0.8233022589500079,False
GO:1901703,protein localization involved in auxin polar transport,1,0,0.0,True,False,24.0,0.0150625643977212,0.4127085914066022,0.5941918837909878,False,,,,
GO:2000023,regulation of lateral root development,1,0,0.0,True,False,19.0,0.0054139132035672,0.4327305524210965,0.61303494926322,False,,,,
GO:0010098,suspensor development,1,0,0.0,True,False,18.0,0.0002501731236537,0.438284253782971,0.6186829227761214,False,,,,
GO:0009790,embryo development,1,0,0.0,False,True,,,,,,397.0,8.0,0.6281840070859798,False
GO:0001763,morphogenesis of a branching structure,1,0,0.0,False,True,,,,,,28.0,1.0,0.63088669013877,False
GO:0052386,cell wall thickening,1,0,0.0,False,True,,,,,,28.0,1.0,0.63088669013877,False
GO:0071555,cell wall organization,2,0,0.0,True,True,25.0,-0.0038417416640136,0.4871866095055007,0.6661264633989421,False,463.0,9.0,0.6411331089234273,False
GO:0048582,positive regulation of post-embryonic development,1,0,0.0,False,True,,,,,,80.0,2.0,0.6439490926227525,False
GO:0022604,regulation of cell morphogenesis,1,0,0.0,False,True,,,,,,81.0,2.0,0.6493027896542783,False
GO:0048466,androecium development,1,0,0.0,False,True,,,,,,83.0,2.0,0.6594570379818447,False
GO:0051093,negative regulation of developmental process,1,0,0.0,False,True,,,,,,140.0,3.0,0.6714217248248594,False
GO:0022603,regulation of anatomical structure morphogenesis,1,0,0.0,False,True,,,,,,141.0,3.0,0.6719599375589773,False
GO:0010927,cellular component assembly involved in morphogenesis,1,0,0.0,False,True,,,,,,34.0,1.0,0.6761511526013188,False
GO:0032989,cellular anatomical entity morphogenesis,1,0,0.0,False,True,,,,,,34.0,1.0,0.6761511526013188,False
GO:0009832,plant-type cell wall biogenesis,1,0,0.0,True,False,39.0,-0.0021868029203706,0.5108650777405019,0.6874437721574036,False,,,,
GO:0048766,root hair initiation,1,0,0.0,True,False,20.0,-0.0029447331874426,0.5351170838437539,0.703375548351326,False,,,,
GO:0071365,cellular response to auxin stimulus,2,0,0.0,True,True,32.0,0.0033891440447688,0.534956348508932,0.703375548351326,False,230.0,3.0,0.9108441056416068,False
GO:0010090,trichome morphogenesis,1,0,0.0,True,False,40.0,0.0052788206218568,0.5475018699000584,0.712311106247525,False,,,,
GO:1901371,regulation of leaf morphogenesis,1,0,0.0,True,False,23.0,-0.0001834510180893,0.552891945217726,0.7156723148757367,False,,,,
GO:0048580,regulation of post-embryonic development,1,0,0.0,False,True,,,,,,332.0,6.0,0.7259182240427237,False
GO:0048528,post-embryonic root development,2,0,0.0,True,True,10.0,0.0054733758927205,0.5721666417461049,0.7300236232166911,False,149.0,2.0,0.8892551202896545,False
GO:0140964,intracellular auxin homeostasis,1,0,0.0,True,False,22.0,-0.0039569173356379,0.5835761621621078,0.7394381185159628,False,,,,
GO:2000026,regulation of multicellular organismal development,1,0,0.0,False,True,,,,,,345.0,6.0,0.7496831367869746,False
GO:0071554,cell wall organization or biogenesis,1,0,0.0,False,True,,,,,,588.0,10.0,0.7553875175643586,False
GO:0009653,anatomical structure morphogenesis,2,0,0.0,True,True,16.0,0.0021270031441465,0.6067157379203116,0.7588648136836706,False,880.0,10.0,0.9999999213864,False
GO:0010102,lateral root morphogenesis,2,0,0.0,True,True,17.0,7.828107161949997e-05,0.6060527392760225,0.7588648136836706,False,69.0,1.0,0.8704527556672177,False
GO:0071669,plant-type cell wall organization or biogenesis,2,0,0.0,True,True,15.0,-0.0027194209202698,0.6099262447054798,0.759615103296202,False,247.0,2.0,0.9999999213864,False
GO:0048658,anther wall tapetum development,1,0,0.0,True,False,17.0,0.0015053314401791,0.6344318492307053,0.7804271231307812,False,,,,
GO:0048646,anatomical structure formation involved in morphogenesis,1,0,0.0,False,True,,,,,,177.0,3.0,0.7814239756341591,False
GO:0009959,negative gravitropism,1,0,0.0,True,False,22.0,0.0036314520658144,0.6472357733357743,0.7868703146089148,False,,,,
GO:0080186,developmental vegetative growth,1,0,0.0,True,False,11.0,-0.0160248929983529,0.6553838313000554,0.7939329072756016,False,,,,
GO:0010078,maintenance of root meristem identity,1,0,0.0,True,False,47.0,-0.0018837066501129,0.6730355480373583,0.8044961488017048,False,,,,
GO:0160062,cutin-based cuticle development,1,0,0.0,True,False,24.0,0.0006609217218235,0.6796223064787681,0.8098303184676909,False,,,,
GO:0048441,petal development,1,0,0.0,True,False,13.0,-0.0016399075010694,0.6900880980467656,0.8165775638140382,False,,,,
