GO_ID,GO_term,gene_set_size,median_effect_in_set,median_effect_outside_set,effect_difference,statistic,p_value,adjusted_p_value,significant
GO:0009958,positive gravitropism,46,0.02085882545761695,0.0002877213158555,0.02057110414176145,821476.0,0.2088802518733387,0.37937412367546663,False
GO:0010143,cutin biosynthetic process,25,-0.004978832801775,0.0002877213158555,-0.0052665541176305,345033.0,0.20932007376413098,0.37937412367546663,False
GO:0006605,protein targeting,12,0.025041510509488198,0.0002877213158555,0.0247537891936327,234325.0,0.2093996388522429,0.37937412367546663,False
GO:0006366,transcription by RNA polymerase II,42,0.0038200496670288,0.0002877213158555,0.0035323283511733,752955.5,0.21220624447846803,0.3826763682440822,False
GO:0007166,cell surface receptor signaling pathway,59,-0.0013154108830004,0.0002877213158555,-0.0016031321988559,862108.0,0.21228008376732577,0.3826763682440822,False
GO:0002221,pattern recognition receptor signaling pathway,37,-0.000330307258341,0.0002877213158555,-0.0006180285741965001,526327.0,0.2123478670844613,0.3826763682440822,False
GO:1990573,potassium ion import across plasma membrane,18,-0.015109214349409351,0.0002877213158555,-0.01539693566526485,241405.0,0.21342870667281522,0.3839458215278157,False
GO:0012501,programmed cell death,41,0.0072922999910078,0.0002877213158555,0.0070045786751522995,735552.0,0.21460611255466988,0.3853842162073297,False
GO:0008652,amino acid biosynthetic process,12,0.053226077716924905,0.0002877213158555,0.052938356401069406,233777.0,0.21562278258954215,0.38646590244014883,False
GO:0110102,ribulose bisphosphate carboxylase complex assembly,10,-0.03152490405741485,0.0002877213158555,-0.03181262537327035,125019.0,0.21606872765364005,0.38646590244014883,False
GO:0042023,DNA endoreduplication,21,0.0136113020380603,0.0002877213158555,0.013323580722204801,391835.0,0.21640362810299818,0.38646590244014883,False
GO:0006631,fatty acid metabolic process,85,-0.0014716978482704,0.0002877213158555,-0.0017594191641259,1263451.0,0.21672401587820112,0.38646590244014883,False
GO:0009415,response to water,12,0.03186470312061595,0.0002877213158555,0.03157698180476045,233525.0,0.21852880952821574,0.3890041635580804,False
GO:0030388,"fructose 1,6-bisphosphate metabolic process",10,0.0131444962816796,0.0002877213158555,0.012856774965824101,197701.0,0.2194873181143584,0.3900297290533895,False
GO:0048831,regulation of shoot system development,12,0.0063005952891757,0.0002877213158555,0.0060128739733202,233371.0,0.22031850886070092,0.3906194452583153,False
GO:2000012,regulation of auxin polar transport,49,0.0049073052122265,0.0002877213158555,0.004619583896371,870276.0,0.22058509849881336,0.3906194452583153,False
GO:0009657,plastid organization,13,0.0152516658691388,0.0002877213158555,0.014963944553283301,251006.0,0.22169764142031423,0.39190917547438564,False
GO:0009785,blue light signaling pathway,26,-0.0060331885509565,0.0002877213158555,-0.006320909866812,361779.0,0.22318747088673596,0.39386024274129877,False
GO:0010093,specification of floral organ identity,13,0.0082463511909788,0.0002877213158555,0.0079586298751233,250785.0,0.22419357264253092,0.3949524077640441,False
GO:0007033,vacuole organization,27,-0.0030298454759237,0.0002877213158555,-0.0033175667917792,377137.0,0.2258029813169964,0.3968767708171466,False
GO:0042147,"retrograde transport, endosome to Golgi",27,0.0145187739168427,0.0002877213158555,0.0142310526009872,494444.0,0.2260641214164335,0.3968767708171466,False
GO:0006303,double-strand break repair via nonhomologous end joining,15,0.0108418944101369,0.0002877213158555,0.0105541730942814,285654.0,0.2288874055700446,0.4009333231077848,False
GO:0034244,negative regulation of transcription elongation by RNA polymerase II,12,0.0063738200129572,0.0002877213158555,0.0060860986971017,232623.0,0.22916090918807697,0.4009333231077848,False
GO:0051026,chiasma assembly,14,0.01737323215364145,0.0002877213158555,0.01708551083778595,267912.0,0.23032546248951768,0.40228077352621244,False
GO:0006914,autophagy,24,-0.01683978639150815,0.0002877213158555,-0.01712750770736365,332901.0,0.23257057019836314,0.4048938376319368,False
GO:0009863,salicylic acid mediated signaling pathway,25,0.0169110437109063,0.0002877213158555,0.0166233223950508,459187.0,0.23261547926697546,0.4048938376319368,False
GO:0009409,response to cold,382,-0.0023073625010639,0.0002877213158555,-0.0025950838169194,5883972.0,0.23738135961849272,0.4124854971224235,False
GO:0006811,monoatomic ion transport,35,-0.0016723381817767,0.0002877213158555,-0.0019600594976322,499711.0,0.23788263018047529,0.4126535421498041,False
GO:0071244,cellular response to carbon dioxide,12,-0.0129821578185776,0.0002877213158555,-0.013269879134433098,155820.0,0.23987119053625094,0.4146310314831485,False
GO:0016042,lipid catabolic process,17,-0.0062705877481636,0.0002877213158555,-0.0065583090640191,229315.0,0.24000880791732382,0.4146310314831485,False
GO:0045824,negative regulation of innate immune response,14,-0.02883721181667415,0.0002877213158555,-0.02912493313252965,185095.0,0.24024209765347138,0.4146310314831485,False
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,15,0.002597172690902,0.0002877213158555,0.0023094513750465,284264.0,0.2441257928108026,0.42062214301861256,False
GO:1902531,regulation of intracellular signal transduction,45,-0.0168946264438384,0.0002877213158555,-0.0171823477596939,653223.0,0.24475536913176443,0.4209957445436757,False
GO:0009749,response to glucose,52,-0.00918537665104705,0.0002877213158555,-0.009473097966902549,760897.0,0.2470259711570314,0.42418601107773063,False
GO:0006607,NLS-bearing protein import into nucleus,12,0.0095182260966258,0.0002877213158555,0.009230504780770301,231128.0,0.24758418264910032,0.4243395079915429,False
GO:1901135,carbohydrate derivative metabolic process,10,-0.0221888823067153,0.0002877213158555,-0.022476603622570798,127428.0,0.24794739878721528,0.4243395079915429,False
GO:0006515,protein quality control for misfolded or incompletely synthesized proteins,18,0.0101249441404537,0.0002877213158555,0.0098372228245982,336219.0,0.24898218050428622,0.4253966903088307,False
GO:0009807,lignan biosynthetic process,10,-0.0258820415738533,0.0002877213158555,-0.0261697628897088,127605.0,0.250413144511511,0.42712609933401535,False
GO:0071805,potassium ion transmembrane transport,63,-0.0004062976654099,0.0002877213158555,-0.0006940189812654,930842.0,0.25089087703545154,0.4272265351855769,False
GO:0019344,L-cysteine biosynthetic process,16,-0.007494555434765951,0.0002877213158555,-0.007782276750621451,215643.0,0.25221611608756145,0.42876739734885444,False
GO:0010072,primary shoot apical meristem specification,12,0.00196640881599625,0.0002877213158555,0.0016786875001407499,230703.0,0.2530058414684948,0.4293942733741509,False
GO:0031347,regulation of defense response,63,0.0095722669847995,0.0002877213158555,0.009284545668944,1099839.0,0.25547979051837943,0.4327974732503049,False
GO:0009414,response to water deprivation,403,-0.0011016251020208,0.0002877213158555,-0.0013893464178763,6217673.0,0.25585968271562143,0.4327974732503049,False
GO:1900865,chloroplast RNA modification,16,0.015193664089899951,0.0002877213158555,0.014905942774044452,300503.0,0.2582867141191114,0.43617955033359873,False
GO:0010087,phloem or xylem histogenesis,60,0.005800615842338951,0.0002877213158555,0.0055128945264834505,1048599.0,0.26095403835258235,0.43995556879278347,False
GO:0008654,phospholipid biosynthetic process,23,0.0094230432734398,0.0002877213158555,0.0091353219575843,421180.0,0.26446287182015904,0.44513552682601026,False
GO:2000033,regulation of seed dormancy process,15,0.0146134679427023,0.0002877213158555,0.0143257466268468,282315.0,0.26667077781744075,0.448112344932108,False
GO:0010332,response to gamma radiation,21,0.0205025889596502,0.0002877213158555,0.020214867643794703,386337.0,0.2680973336833342,0.4497685532187515,False
GO:0006820,monoatomic anion transport,15,0.012285095970358,0.0002877213158555,0.0119973746545025,282097.0,0.26927879265278754,0.4510088152805309,False
GO:0010183,pollen tube guidance,54,0.00198167311405345,0.0002877213158555,0.00169395179819795,946448.0,0.2697892263640158,0.45112296867425594,False
GO:0051707,response to other organism,88,-0.00104585090974405,0.0002877213158555,-0.00133357222559955,1321840.0,0.27241311140149893,0.4547649322905547,False
GO:0009625,response to insect,71,0.0012658078018111,0.0002877213158555,0.0009780864859556,1058435.0,0.2731636066882934,0.4552726778138224,False
GO:0033386,geranylgeranyl diphosphate biosynthetic process,11,0.0152253492054355,0.0002877213158555,0.01493762788958,211262.0,0.27692991128782174,0.46079691600909983,False
GO:0009904,chloroplast accumulation movement,21,-0.0092895142664434,0.0002877213158555,-0.0095772355822989,293089.0,0.28228535026640444,0.4689430900191084,False
GO:0010439,regulation of glucosinolate biosynthetic process,11,-0.0016137794299585,0.0002877213158555,-0.0019015007458140002,144611.0,0.2855198095130983,0.4735450499241631,False
GO:0005985,sucrose metabolic process,28,-0.00963126124150215,0.0002877213158555,-0.00991898255735765,399747.0,0.290055064908055,0.4802859841010002,False
GO:0010154,fruit development,32,0.006742141696423501,0.0002877213158555,0.0064544203805680005,572035.0,0.2916468312885653,0.4821390079648891,False
GO:1990019,protein storage vacuole organization,11,0.0127516645318288,0.0002877213158555,0.012463943215973302,210145.0,0.2932026618565028,0.483395404783427,False
GO:0046486,glycerolipid metabolic process,10,-0.020613941168311202,0.0002877213158555,-0.0209016624841667,130511.0,0.29335466231464835,0.483395404783427,False
GO:0010119,regulation of stomatal movement,63,-0.0023509963358296,0.0002877213158555,-0.0026387176516851,938606.0,0.29685759384876675,0.48781991400364216,False
GO:1900140,regulation of seedling development,13,0.0296808730189245,0.0002877213158555,0.029393151703069,244933.0,0.2977008137017003,0.48781991400364216,False
