Gene,spaceflight_effect,standard_error,t_statistic,p_value,adjusted_p_value,significant
AT5G07475,-0.3558278530097195,0.0471170777246568,-7.551993251557514,3.165014923637908e-08,2.4941089553126136e-05,True
AT2G39430,-0.5892206306265909,0.0786657797609002,-7.49017720815189,3.7008498624723985e-08,2.84692281444335e-05,True
AT3G11550,-0.4882749506145163,0.0656871631222503,-7.43333898749422,4.275021231015453e-08,3.212131650066936e-05,True
AT3G22620,-0.5359468710222282,0.072287311362276,-7.414120969809898,4.489064926065771e-08,3.2962999703695226e-05,True
AT5G09520,-0.3101122497461198,0.0420058731080933,-7.382592642417184,4.8641520752916515e-08,3.483516732314172e-05,True
AT3G59900,0.3036620213205719,0.0412566384848886,7.360319029185956,5.1482543677264425e-08,3.483516732314172e-05,True
AT1G59760,0.2324902334883964,0.0315907916454757,7.359430434586543,5.159932887131981e-08,3.483516732314172e-05,True
AT2G48130,-0.4614887572476692,0.0627170680089615,-7.358264215759062,5.1753010972509295e-08,3.483516732314172e-05,True
AT3G56290,-0.4882899770095056,0.0664410562984912,-7.3492205604894,5.2960705364405646e-08,3.492055978813432e-05,True
AT3G25655,-0.3314379570918487,0.0453443809880955,-7.309350130479501,5.863698407613734e-08,3.789004637031842e-05,True
AT1G30840,-0.4080811136319801,0.0560449348856118,-7.281320148999677,6.299525085851327e-08,3.863238863136617e-05,True
AT5G67300,-0.4243656260856028,0.058281527578908,-7.281305822175802,6.299756084810362e-08,3.863238863136617e-05,True
AT5G15950,-0.3779451044961621,0.051922777688627,-7.278984702294655,6.337294863543926e-08,3.863238863136617e-05,True
AT4G28110,-0.2102541911909566,0.0291717435851163,-7.20746055433689,7.61286199458847e-08,4.526247875226283e-05,True
AT1G60270,-0.3062521147840675,0.0425417877372553,-7.198853905142111,7.783044447070186e-08,4.526247875226283e-05,True
AT2G37180,-0.5400362608876674,0.0750492398470698,-7.1957592373768975,7.84517877410851e-08,4.526247875226283e-05,True
AT4G25410,0.2059139657174671,0.0286739970665403,7.18120899711425,8.144154884037847e-08,4.6163070201469954e-05,True
AT5G01840,-0.2661549749728562,0.0373391688818211,-7.128036936634548,9.338923604198119e-08,5.202263495310983e-05,True
AT5G64620,-0.265923717097461,0.0375936722755501,-7.073629709497959,1.074675236709199e-07,5.885030885226697e-05,True
AT4G13390,0.5476172074906529,0.0778327417899065,7.035820592943167,1.1850644369571802e-07,6.381374482274923e-05,True
AT3G13580,0.2884014484161554,0.0411001028322299,7.017049314776811,1.244088164902528e-07,6.589384347514062e-05,True
