Gene,expression_range
AT1G04290,1.1132438813137813
AT1G04293,0.1022361431632837
AT1G04295,0.29496339122933246
AT1G04297,0.1690918642199722
AT1G04300,0.33425363836415145
AT1G04303,0.1022361431632837
AT1G04307,0.1518861749879481
AT1G04310,0.3706123026225641
AT1G04313,0.1019935489625394
AT1G04320,0.1609196461458213
AT1G04323,0.1019935489625394
AT1G04327,0.1022361431632837
AT1G04330,0.7350431721594546
AT1G04333,0.1022361431632837
AT1G04337,0.1157401875728611
AT1G04340,0.638626063748712
AT1G04343,0.1347502093239678
AT1G04347,0.2031829419842616
AT1G04350,0.5086257303119329
AT1G04353,0.3535922064986733
AT1G04357,0.26074897310214606
AT1G04360,0.40013100464511975
AT1G04363,0.13310185515125608
AT1G04367,0.1754555067401034
AT1G04370,0.1208752519427472
AT1G04373,0.1022361431632837
AT1G04377,0.1022361431632837
AT1G04380,0.2566880433361926
AT1G04383,0.1022361431632837
AT1G04387,0.1022361431632837
AT1G04390,0.3543941744332786
AT1G04393,0.1016524999438922
AT1G04397,0.1016524999438922
AT1G04400,0.4359108754080845
AT1G04403,0.13680399835142398
AT1G04407,0.1022361431632837
AT1G04410,1.042153929982081
AT1G04413,0.1156001847370652
AT1G04417,0.10075254141967468
AT1G04420,0.36716768271956024
AT1G04423,0.25927988817332903
AT1G04425,1.8687944047669087
AT1G04427,0.11444303835507919
AT1G04430,0.756970094541906
AT1G04433,0.2697722396297007
AT1G04437,0.10246802623269259
AT1G04440,0.7162902872792936
AT1G04443,0.1022361431632837
AT1G04445,0.1473784809074214
AT1G04447,0.1022361431632837
AT1G04450,0.436486579589324
AT1G04453,0.1022361431632837
AT1G04455,0.1022361431632837
AT1G04463,0.5894514484593987
AT1G04467,0.10134379978257319
AT1G04470,0.1016524999438922
AT1G04473,0.2065171840764805
AT1G04477,0.34830064267187677
AT1G04480,0.6002770637907031
AT1G04483,0.1019935489625394
AT1G04487,0.1567070508851968
AT1G04490,0.38761720255200416
AT1G04493,0.10723969807591059
AT1G04497,0.1016524999438922
AT1G04500,0.1022361431632837
AT1G04503,0.851270539462314
AT1G04507,0.1022361431632837
AT1G04510,0.5678642581772635
AT1G04513,0.127926209227189
AT1G04517,0.2385048715039847
AT1G04520,0.8460893143744765
AT1G04523,0.2235038811007973
AT1G04527,0.1703252928955503
AT1G04530,0.5904520237345446
AT1G04533,0.1153215346463968
AT1G04537,0.3256134826178335
AT1G04540,0.43405869610823905
AT1G04547,0.1022361431632837
AT1G04550,0.4680357656798998
AT1G04555,0.48648391583383765
AT1G04557,0.1016524999438922
AT1G04560,3.04170317295158
AT1G04563,0.183723615582392
AT1G04567,0.1019935489625394
AT1G04570,0.5564898788512018
AT1G04573,0.1022361431632837
AT1G04577,0.2591033951782557
AT1G04580,0.3255697912911723
AT1G04583,0.10665781231970589
AT1G04587,0.1198129780598585
AT1G04590,1.0056230758746145
AT1G04593,0.1022361431632837
AT1G04597,0.1022361431632837
AT1G04600,0.26800848102915487
AT1G04603,0.11473066542508109
AT1G04607,0.1022361431632837
