Gene,GO_ID,GO_term
AT1G01970,GO:0008150,biological_process
AT1G01980,,
AT1G01990,,
AT1G02000,,
AT1G02010,GO:0006886,intracellular protein transport
AT1G02010,GO:0016192,vesicle-mediated transport
AT1G02020,,
AT1G02030,GO:0006355,regulation of DNA-templated transcription
AT1G02040,,
AT1G02050,GO:0009813,flavonoid biosynthetic process
AT1G02050,GO:0010584,pollen exine formation
AT1G02050,GO:0030639,polyketide biosynthetic process
AT1G02050,GO:0080110,sporopollenin biosynthetic process
AT1G02060,,
AT1G02065,GO:0009554,megasporogenesis
AT1G02065,GO:0009555,pollen development
AT1G02065,GO:0009556,microsporogenesis
AT1G02065,GO:0045893,positive regulation of DNA-templated transcription
AT1G02065,GO:0048653,anther development
AT1G02067,,
AT1G02070,GO:0008150,biological_process
AT1G02080,GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening
AT1G02080,GO:0017148,negative regulation of translation
AT1G02090,GO:0000338,protein deneddylation
AT1G02090,GO:0009640,photomorphogenesis
AT1G02090,GO:0010387,COP9 signalosome assembly
AT1G02100,GO:0009966,regulation of signal transduction
AT1G02100,GO:0032259,methylation
AT1G02100,GO:1900458,negative regulation of brassinosteroid mediated signaling pathway
AT1G02110,,
AT1G02120,GO:0009723,response to ethylene
AT1G02120,GO:0009751,response to salicylic acid
AT1G02120,GO:0042742,defense response to bacterium
AT1G02120,GO:0043069,negative regulation of programmed cell death
AT1G02130,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport
AT1G02130,GO:0016192,vesicle-mediated transport
AT1G02140,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
AT1G02140,GO:0008380,RNA splicing
AT1G02140,GO:0009793,embryo development ending in seed dormancy
AT1G02140,GO:0010183,pollen tube guidance
AT1G02140,GO:0010628,positive regulation of gene expression
AT1G02140,GO:0071030,nuclear mRNA surveillance of spliceosomal pre-mRNA splicing
AT1G02145,GO:0006487,protein N-linked glycosylation
AT1G02145,GO:0036503,ERAD pathway
AT1G02150,GO:0000963,mitochondrial RNA processing
AT1G02150,GO:0032543,mitochondrial translation
AT1G02150,GO:0080156,mitochondrial mRNA modification
AT1G02160,GO:0008150,biological_process
AT1G02170,GO:0006508,proteolysis
AT1G02170,GO:0043068,positive regulation of programmed cell death
AT1G02180,,
AT1G02190,GO:0006950,response to stress
AT1G02190,GO:0008610,lipid biosynthetic process
AT1G02205,GO:0006950,response to stress
AT1G02205,GO:0008610,lipid biosynthetic process
AT1G02205,GO:0009414,response to water deprivation
AT1G02205,GO:0009611,response to wounding
AT1G02205,GO:0009753,response to jasmonic acid
AT1G02205,GO:0010025,wax biosynthetic process
AT1G02205,GO:0042742,defense response to bacterium
AT1G02205,GO:0043447,alkane biosynthetic process
AT1G02205,GO:0050832,defense response to fungus
AT1G02205,GO:0160062,cutin-based cuticle development
AT1G02210,GO:0006351,DNA-templated transcription
AT1G02210,GO:0006355,regulation of DNA-templated transcription
AT1G02210,GO:0045995,regulation of embryonic development
AT1G02210,GO:0048731,system development
AT1G02220,GO:0006355,regulation of DNA-templated transcription
AT1G02230,GO:0006355,regulation of DNA-templated transcription
AT1G02250,GO:0006355,regulation of DNA-templated transcription
AT1G02250,GO:0010089,xylem development
AT1G02260,GO:0055085,transmembrane transport
AT1G02260,GO:0070574,cadmium ion transmembrane transport
AT1G02260,GO:0098849,cellular detoxification of cadmium ion
AT1G02270,GO:0006402,mRNA catabolic process
AT1G02280,GO:0006886,intracellular protein transport
AT1G02280,GO:0045036,protein targeting to chloroplast
AT1G02280,GO:0071806,protein transmembrane transport
AT1G02290,,
AT1G02300,GO:0006508,proteolysis
AT1G02300,GO:0030163,protein catabolic process
AT1G02305,GO:0006508,proteolysis
AT1G02305,GO:0030163,protein catabolic process
AT1G02310,GO:0000272,polysaccharide catabolic process
AT1G02320,GO:0008150,biological_process
AT1G02330,GO:0000398,"mRNA splicing, via spliceosome"
AT1G02330,GO:0010099,regulation of photomorphogenesis
AT1G02330,GO:0031397,negative regulation of protein ubiquitination
AT1G02330,GO:0055121,response to high fluence blue light stimulus by blue high-fluence system
AT1G02330,GO:0080022,primary root development
