Gene,Flight_Mean,Ground_Mean,Effect,P_Value,Adjusted_P_Value,Significant,-log10_p
AT3G21890,4.378951891524545,5.911962679904636,-1.533010788380091,1.5097887888823258e-05,0.015243676868749707,True,1.8169102658567258
AT4G13580,8.455155297749805,10.057408584519774,-1.6022532867699688,1.592875343952161e-05,0.01559521499628799,True,1.8070086336636257
AT1G07730,4.884288701397673,6.736950127368863,-1.8526614259711902,1.938870849542459e-05,0.018424405375843323,True,1.7346065195425728
AT2G48130,10.38918304059545,11.683886741746388,-1.2947037011509384,2.0235196661257854e-05,0.018679399112245143,True,1.7286370984717452
AT2G30210,7.648139410300271,9.093796802993964,-1.4456573926936933,2.194317612888479e-05,0.01969339104300385,True,1.705679495417865
AT5G27807,2.949903956655909,4.456813370501482,-1.5069094138455732,2.49037603566695e-05,0.021746367388206345,True,1.6626132791698596
AT1G10370,7.519649329503791,8.930419504569516,-1.4107701750657249,3.452625174190232e-05,0.028602786346900565,True,1.543591657914984
AT2G37180,9.026245662588508,10.459634985944291,-1.433389323355783,3.416683804549303e-05,0.028602786346900565,True,1.543591657914984
AT5G43780,10.757156636790892,11.85434882559357,-1.097192188802678,3.5906393812298565e-05,0.02900249194203886,True,1.5375646851982305
AT3G11550,7.916977162341719,9.448273083834147,-1.5312959214924282,3.9018479298484146e-05,0.030747513357432296,True,1.512190001150783
AT4G28110,3.8291742885207682,5.863208772956553,-2.034034484435785,4.013608722477942e-05,0.030875162908223765,True,1.5103907422357277
AT2G02450,3.1885247728761614,5.024599880534755,-1.8360751076585933,4.475134187467844e-05,0.03362490940997641,True,1.4733388770356428
AT3G24520,7.265116734599913,8.585572405438898,-1.3204556708389843,4.821220677298127e-05,0.03450314043890598,True,1.4621413741088563
AT1G49570,6.154047075157803,3.9170659846734743,2.2369810904843286,4.912391160944862e-05,0.03450314043890598,True,1.4621413741088563
AT4G25830,6.135220655837803,7.421156842995441,-1.2859361871576382,4.743846195747061e-05,0.03450314043890598,True,1.4621413741088563
AT1G71740,8.267476425353115,9.552575725198656,-1.285099299845541,5.849331226699563e-05,0.04020979629860344,True,1.3956681270119002
AT1G03660,5.716691847557732,6.810765734488913,-1.0940738869311808,6.004150389716688e-05,0.040414186446115934,True,1.3934661593006354
AT2G22460,4.033744925735998,5.374493789198695,-1.3407488634626974,6.185710720031978e-05,0.04056169113773308,True,1.391883946266568
AT4G12550,11.807651228188435,13.395159449441085,-1.5875082212526497,6.277150505700127e-05,0.04056169113773308,True,1.391883946266568
