Gene,Flight_Mean,Ground_Mean,Effect,P_Value,Adjusted_P_Value,Significant,-log10_p
AT1G64220,8.928589087092504,9.15703546722657,-0.22844638013406637,0.35170286270212514,0.6356661328621035,False,0.1967709263749786
AT2G33793,5.551139680308475,5.928712271206601,-0.3775725908981258,0.3517762209563743,0.6357631550528331,False,0.19670464474604596
AT5G55490,5.341248466503242,5.624001623033425,-0.28275315653018307,0.35180319319354414,0.6357763378951906,False,0.19669563954294592
AT5G17690,6.9327300746941685,7.144941109604622,-0.21221103491045312,0.35183196887272306,0.6357927782487168,False,0.19668440939473497
AT4G32760,9.032065879203017,9.262707423827475,-0.23064154462445785,0.35192307737401685,0.6358446010324327,False,0.19664901196244206
AT1G29560,3.6698453851814734,4.010392707534436,-0.3405473223529625,0.35191198821201697,0.6358446010324327,False,0.19664901196244206
AT2G02970,7.44929659941587,7.670374045385107,-0.22107744596923684,0.35190401066226706,0.6358446010324327,False,0.19664901196244206
AT4G09490,5.714020784228039,6.012013644786166,-0.2979928605581277,0.3519393667480576,0.6358446010324327,False,0.19664901196244206
AT5G04510,7.885470907357258,8.182036566831007,-0.2965656594737487,0.352037201483425,0.6358791268926024,False,0.19662543075493746
AT3G17570,0.863311120227467,1.1789062126205012,-0.3155950923930342,0.3520271910367293,0.6358791268926024,False,0.19662543075493746
AT4G13210,4.614269215326413,4.95539168439178,-0.34112246906536736,0.35203198383049183,0.6358791268926024,False,0.19662543075493746
AT5G18870,0.12465617459072452,0.37654022676383314,-0.2518840521731086,0.3520211184391153,0.6358791268926024,False,0.19662543075493746
AT3G09745,4.603392204026259,4.921975309400082,-0.31858310537382284,0.3520651108852054,0.6358939885727919,False,0.19661528060217845
AT3G10630,7.3932175407879575,7.677385149025218,-0.2841676082372606,0.35213591419035606,0.6359552177697841,False,0.19657346510664164
AT2G23470,5.686874654525118,5.999529076136246,-0.31265442161112755,0.3521383777245176,0.6359552177697841,False,0.19657346510664164
AT1G04047,2.3797191859826694,2.794603548416622,-0.41488436243395244,0.3521603178297472,0.6359592928713489,False,0.1965706822244464
AT1G29450,0.44868750305143634,0.7407223268753431,-0.2920348238239068,0.3521936594099664,0.6359839560628552,False,0.19655384013972663
AT2G07644,4.172938983523025,3.800532738992897,0.37240624453012794,0.35225463202472573,0.6360585092542818,False,0.19650293297182192
AT5G12170,7.556678819799004,7.786507600461646,-0.22982878066264245,0.35231889310825426,0.6361308930816026,False,0.19645351281982143
AT5G02920,1.6423285237753111,2.159173017316207,-0.516844493540896,0.35233409674379523,0.6361308930816026,False,0.19645351281982143
AT2G08330,0.623645391974068,0.370036998125593,0.253608393848475,0.352382109809804,0.6361820287128386,False,0.19641860329071748
AT2G14378,0.22181590952901376,0.06441934192897042,0.15739656760004334,0.3524064621100389,0.6361904444495305,False,0.19641285826230226
AT1G69510,12.008889439180082,12.294339320248234,-0.2854498810681516,0.35243772259509387,0.6362113297197949,False,0.1963986011969416
AT1G08430,8.44087782309414,8.824652772510968,-0.38377494941682677,0.3524609649553242,0.6362177393564763,False,0.1963942258334586
AT1G20140,8.905548793203726,9.13021596788985,-0.22466717468612352,0.35253855311782356,0.6363222409320537,False,0.1963228969032427
AT3G48250,6.4828076019424685,6.776398979882305,-0.2935913779398369,0.3525719734397662,0.636347013567142,False,0.1963059897316671
AT4G12760,7.948561550830706,8.233252005288229,-0.2846904544575226,0.3526401680527529,0.6363731746551637,False,0.19628813566401707
AT5G47370,8.351210415009724,8.60547162447644,-0.2542612094667156,0.3526576649421539,0.6363731746551637,False,0.19628813566401707
