Gene,spaceflight_effect,standard_error,t_statistic,p_value,adjusted_p_value,significant
AT4G22270,-0.19349110838781847,0.03191614285276043,-6.062484094035297,1.5471425025896247e-06,0.0003245884877673259,True
AT1G54790,-0.11349356721568672,0.018776464218432334,-6.044458951130599,1.6238905815804728e-06,0.0003384921341953774,True
AT1G16530,-0.19861980634516974,0.03289674451612164,-6.037673613807973,1.6537688387270272e-06,0.000340962718977602,True
AT3G52800,-0.25060348313205016,0.04151139115909235,-6.036981082412118,1.6568493880802102e-06,0.000340962718977602,True
AT3G02790,0.6929785219121176,0.11503948991101792,6.023831663788936,1.7164546300890477e-06,0.00035099324457941165,True
AT3G12700,-0.26344645129587296,0.04392012615592043,-5.998308164248303,1.838410839781524e-06,0.00036950928949952864,True
AT5G02760,0.11011710352440751,0.018359501402693847,5.997826471924247,1.8407947883467666e-06,0.00036950928949952864,True
AT5G52510,-0.18837653756471764,0.031418471350168176,-5.995725745699251,1.8512280917705163e-06,0.00036950928949952864,True
AT1G47480,-0.1904844336455715,0.031782341448558384,-5.993404669504351,1.8628252782288346e-06,0.00036950928949952864,True
AT3G13432,-0.18342373427875008,0.03060564996772515,-5.993133113401531,1.8641868887437919e-06,0.00036950928949952864,True
AT1G02230,0.17994354233781223,0.030064136376548988,5.985322182019308,1.903785219962286e-06,0.00037294480455378243,True
AT5G48880,-0.29283498558457705,0.04892682568239705,-5.985162157984297,1.9046053035183416e-06,0.00037294480455378243,True
AT4G37740,0.15252871245105826,0.025577960220535097,5.96328679597373,2.0201385876570628e-06,0.0003931846845097111,True
AT3G61750,-0.22417931909781735,0.037624659511378174,-5.958308248079233,2.0474068588089374e-06,0.0003961057976123231,True
AT1G54970,0.41042908243546017,0.06890965671543714,5.95604595928158,2.059920354221256e-06,0.0003961545638365152,True
AT3G18000,0.3643869904801093,0.06131195613781526,5.943163673673217,2.1326639171347924e-06,0.0004076816578783897,True
AT4G25640,-0.3849836320870707,0.06480107712120307,-5.94100668059888,2.145095231648341e-06,0.0004076816578783897,True
AT3G25640,-0.30469331893646934,0.05143210281238864,-5.92418552373629,2.2445853543595025e-06,0.0004240953696725214,True
AT1G70370,-0.2376178582576064,0.04013370204775888,-5.92065635945676,2.2660434432189285e-06,0.0004256604512032579,True
AT4G08950,0.2928425077127865,0.04948643316308503,5.917632146728161,2.2845960979026824e-06,0.0004266648284805651,True
AT1G64405,-0.22971844600547534,0.03886127012688817,-5.911243900557249,2.324291997163801e-06,0.00043158362147336347,True
AT4G17340,-0.455248464749511,0.07707477452721584,-5.906581855633692,2.353700507388206e-06,0.00043454691253260315,True
AT4G11570,-0.1551603206686992,0.026294338892773647,-5.900902141005766,2.390036852196041e-06,0.0004387482991909198,True
AT2G25650,0.16080381669688004,0.027281918901460006,5.894153460307901,2.43394924086051e-06,0.00044428511877379786,True
AT3G55120,-0.3081322382496386,0.05239044792715181,-5.8814583658092054,2.5187740401000843e-06,0.0004571857891100766,True
AT1G09770,0.27145361716586336,0.046189752230131616,5.8769229982745435,2.549796464758292e-06,0.0004602311395523779,True
AT2G47460,-0.4348076401652339,0.07405944123801324,-5.871062931299241,2.5904519820250346e-06,0.00046497173937359355,True
AT2G16890,-0.3145871471975698,0.05363188316468312,-5.865674084790054,2.628415767777474e-06,0.00046917947536531717,True
AT5G24410,-0.21275106032727195,0.03639905827481049,-5.844960567963475,2.779643872345385e-06,0.0004890889947247118,True
AT5G65683,-0.19305702961453092,0.03302975515770591,-5.844942800597488,2.779777291332957e-06,0.0004890889947247118,True
AT1G62975,-0.39158821233538854,0.0670045948695931,-5.844199388079466,2.785365533731994e-06,0.0004890889947247118,True
AT2G02120,-0.4136516239744893,0.0708797475333342,-5.8359635632160245,2.8480382412812884e-06,0.0004922429685736613,True
